Kommunkod	Region	År	Befolkning
0114	0114 Upplands Väsby	2022	48412
0115	0115 Vallentuna	2022	34585
0117	0117 Österåker	2022	48907
0120	0120 Värmdö	2022	46849
0123	0123 Järfälla	2022	84218
0125	0125 Ekerö	2022	29399
0126	0126 Huddinge	2022	115071
0127	0127 Botkyrka	2022	96207
0128	0128 Salem	2022	17370
0136	0136 Haninge	2022	96950
0138	0138 Tyresö	2022	49538
0139	0139 Upplands-Bro	2022	31514
0140	0140 Nykvarn	2022	11673
0160	0160 Täby	2022	74571
0162	0162 Danderyd	2022	32854
0163	0163 Sollentuna	2022	75782
0180	0180 Stockholm	2022	987869
0181	0181 Södertälje	2022	102017
0182	0182 Nacka	2022	109590
0183	0183 Sundbyberg	2022	54500
0184	0184 Solna	2022	85321
0186	0186 Lidingö	2022	48505
0187	0187 Vaxholm	2022	12090
0188	0188 Norrtälje	2022	65468
0191	0191 Sigtuna	2022	50943
0192	0192 Nynäshamn	2022	29737
0305	0305 Håbo	2022	22561
0319	0319 Älvkarleby	2022	9658
0330	0330 Knivsta	2022	20196
0331	0331 Heby	2022	14414
0360	0360 Tierp	2022	21607
0380	0380 Uppsala	2022	240312
0381	0381 Enköping	2022	48128
0382	0382 Östhammar	2022	22499
0428	0428 Vingåker	2022	8997
0461	0461 Gnesta	2022	11609
0480	0480 Nyköping	2022	58022
0481	0481 Oxelösund	2022	12168
0482	0482 Flen	2022	16146
0483	0483 Katrineholm	2022	34893
0484	0484 Eskilstuna	2022	108025
0486	0486 Strängnäs	2022	38533
0488	0488 Trosa	2022	14951
0509	0509 Ödeshög	2022	5309
0512	0512 Ydre	2022	3698
0513	0513 Kinda	2022	10072
0560	0560 Boxholm	2022	5525
0561	0561 Åtvidaberg	2022	11438
0562	0562 Finspång	2022	21819
0563	0563 Valdemarsvik	2022	7600
0580	0580 Linköping	2022	166757
0581	0581 Norrköping	2022	145282
0582	0582 Söderköping	2022	14760
0583	0583 Motala	2022	43743
0584	0584 Vadstena	2022	7566
0586	0586 Mjölby	2022	28464
0604	0604 Aneby	2022	6912
0617	0617 Gnosjö	2022	9557
0642	0642 Mullsjö	2022	7459
0643	0643 Habo	2022	13004
0662	0662 Gislaved	2022	29491
0665	0665 Vaggeryd	2022	14868
0680	0680 Jönköping	2022	144677
0682	0682 Nässjö	2022	31836
0683	0683 Värnamo	2022	34778
0684	0684 Sävsjö	2022	11650
0685	0685 Vetlanda	2022	27608
0686	0686 Eksjö	2022	17810
0687	0687 Tranås	2022	18876
0760	0760 Uppvidinge	2022	9254
0761	0761 Lessebo	2022	8498
0763	0763 Tingsryd	2022	12281
0764	0764 Alvesta	2022	20267
0765	0765 Älmhult	2022	18087
0767	0767 Markaryd	2022	10360
0780	0780 Växjö	2022	96703
0781	0781 Ljungby	2022	28494
0821	0821 Högsby	2022	5577
0834	0834 Torsås	2022	7092
0840	0840 Mörbylånga	2022	15821
0860	0860 Hultsfred	2022	13885
