Län	år	januari	juli
Blekinge län	8.337098234	0.840821176	17.29119918
Dalarnas län	3.988696899	-5.703065905	15.35070357
Gotlands län	7.91954575	0.513677403	17.44982139
Gävleborgs län	5.036485627	-4.259748761	16.15608778
Hallands län	7.908822891	-0.058457963	17.04058419
Jämtlands län	2.210995372	-6.962998877	13.43775071
Jönköpings län	6.664415137	-1.598339381	16.38308064
Kalmar län	7.730660383	-0.42320688	17.48353818
Kronobergs län	7.119972045	-1.172556193	16.71247628
Norrbottens län	0.494480578	-11.06818232	14.05730234
Skåne län	8.592371085	0.795831057	17.54663553
Stockholms län	7.102772596	-1.211062925	17.51141804
Södermanlands län	6.981994428	-1.789127803	17.52428044
Uppsala län	6.487211646	-2.316309368	17.26157199
Värmlands län	5.769475646	-3.605954003	16.62414316
Västerbottens län	1.951192419	-8.429672555	14.39218441
Västernorrland län	4.088785049	-5.865900327	15.88954394
Västmanlands län	6.455960106	-2.738265043	17.35000414
Västra Götalands län	7.453285781	-0.607713789	16.95403547
Örebro län	6.243077282	-2.652306083	16.73819868
Östergötlands län	7.198594645	-1.371107746	17.39315867
